DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/04/2016,9:49,MANHATTAN,10002,40.719933,-73.97876,"(40.719933, -73.97876)",EAST HOUSTON STREET             ,COLUMBIA STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3534107,,,,,
10/05/2016,21:10,MANHATTAN,10011,40.7447026,-74.0083473,"(40.7447026, -74.0083473)",11 AVENUE                       ,WEST 17 STREET,,0,1,0,0,0,0,0,1,Illness,Unspecified,Unspecified,Unspecified,,3535357,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
10/05/2016,0:14,,,40.69775,-73.81393,"(40.69775, -73.81393)",,,,0,1,1,1,0,0,0,0,Unspecified,,,,,3533993,SPORT UTILITY / STATION WAGON,,,,
10/07/2016,14:10,MANHATTAN,10128,40.7778604,-73.9457136,"(40.7778604, -73.9457136)",EAST 89 STREET                  ,YORK AVENUE,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3537210,SPORT UTILITY / STATION WAGON,,,,
10/10/2016,21:10,BRONX,10451,40.8251992,-73.9147529,"(40.8251992, -73.9147529)",COURTLANDT AVENUE               ,EAST 162 STREET,,0,1,0,1,0,0,0,0,,,,,,3537427,,,,,
10/14/2016,21:10,,,40.6048516,-74.0255796,"(40.6048516, -74.0255796)",,,,0,1,0,0,0,0,0,1,Illness,,,,,3540377,PASSENGER VEHICLE,,,,
10/14/2016,12:10,BRONX,10468,40.8626793,-73.9090397,"(40.8626793, -73.9090397)",WEST FORDHAM ROAD               ,SEDGWICK AVENUE,,0,1,0,1,0,0,0,0,Turning Improperly,,,,,3540175,,,,,
10/15/2016,2:23,,,40.863884,-73.91069,"(40.863884, -73.91069)",,,,4,1,0,0,0,0,4,1,Unsafe Speed,Unspecified,Unspecified,,,3540378,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/16/2016,17:10,QUEENS,11354,40.7627471,-73.8332862,"(40.7627471, -73.8332862)",NORTHERN BOULEVARD              ,PRINCE STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,3541170,SPORT UTILITY / STATION WAGON,,,,
10/18/2016,16:10,BRONX,10462,40.8363481,-73.8522082,"(40.8363481, -73.8522082)",CASTLE HILL AVENUE              ,STARLING AVENUE,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3543581,,,,,
10/24/2016,6:40,,,40.671196,-73.84296,"(40.671196, -73.84296)",CROSS BAY BOULEVARD             ,149 AVENUE,,1,1,1,1,0,0,0,0,Unspecified,,,,,3546615,PICK-UP TRUCK,,,,
11/05/2016,22:20,,,40.7031321,-73.8167895,"(40.7031321, -73.8167895)",,,,0,1,0,1,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3554348,PASSENGER VEHICLE,,,,
11/08/2016,22:16,MANHATTAN,10029,40.799984,-73.944855,"(40.799984, -73.944855)",EAST 116 STREET                 ,MADISON AVENUE,,1,1,0,1,0,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3558813,MOTORCYCLE,PASSENGER VEHICLE,,,
11/08/2016,16:00,BRONX,10454,40.809105,-73.9229,"(40.809105, -73.9229)",WILLIS AVENUE                   ,EAST 138 STREET,,0,1,0,1,0,0,0,0,Unsafe Speed,Unsafe Speed,Unsafe Speed,Unsafe Speed,,3557906,,,,,
11/13/2016,17:15,BROOKLYN,11233,40.684147,-73.922966,"(40.684147, -73.922966)",RALPH AVENUE                    ,MACON STREET,,0,1,0,1,0,0,0,0,,,,,,3559113,,,,,
11/15/2016,18:40,,,40.826523,-73.93116,"(40.826523, -73.93116)",,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3560955,SPORT UTILITY / STATION WAGON,,,,
11/19/2016,15:45,BROOKLYN,11235,40.591106,-73.96513,"(40.591106, -73.96513)",OCEAN PARKWAY                   ,AVENUE X,,0,1,0,0,0,0,0,1,Failure to Yield Right-of-Way,Unspecified,,,,3563662,MOTORCYCLE,PASSENGER VEHICLE,,,
12/01/2016,11:12,BROOKLYN,11249,40.7085282,-73.9684503,"(40.7085282, -73.9684503)",KENT AVENUE                     ,south 10 st,,0,1,0,1,0,0,0,0,Unspecified,,,,,3571608,,,,,
12/04/2016,2:13,BROOKLYN,11218,40.641396,-73.98908,"(40.641396, -73.98908)",12 AVENUE                       ,40 STREET,,1,1,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,Unspecified,,,3572530,MOTORCYCLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
